hypothesis,premise,label
Une foule d'oies volent dans un beau coucher de soleil.,"Une foule d'oiseaux volant vers un immeuble muni d'une antenne en fond, à l'abri d'un beau coucher de soleil.",1
Un garçon et une fille sont tous deux des scooters à l'extérieur.,Un garçon à bord d'un scooter Thomas the Tank Engine et une fille à bord d'un scooter rose sont sur le trottoir.,0
Le maire vieillissant donne une conférence de presse sur la criminalité.,Un homme âgé important prononce un discours aux journalistes.,1
Un groupe de femmes dans un musée.,Trois femmes âgées s'arrêtent pour regarder une exposition dans un musée.,0
Un employé attend à l'extérieur de la salle de bain pour la réparer.,Un homme en veste orange et un couvercle se trouvent à l'extérieur d'une salle de bain pour les femmes.,1
Le joueur de rugby est à la cuisson.,Le joueur de rugby bat le ballon avec tout ce qu'il a.,2
Les musiciens réagissent au naufrage du Titanic.,"Deux hommes âgés jouent des instruments, l'un jouant le violon et l'autre l'accordéon.",1
Une personne skie sur la colline pour rencontrer sa famille.,Une personne skie sur une colline neigeuse.,1
Un groupe de gens se trouvent en ivre.,Un groupe de gens apprécie leur entreprise avec de l'alcool.,1
L'homme cuisine un oiseau pour le dîner.,Un homme debout à côté d'une cage d'oiseaux,2
Un garçon portant une chemise bleue marchant sur des roches,"Le petit garçon marche soigneusement sur les roches, gardant ses bras à l'équilibre.",1
Un homme âgé regarde sur une jeune femme.,Un homme âgé muni d'une veste de vlies rouge marchant alors qu'il regarde une jeune femme.,0
Un couple de combats.,"Dans le soleil lumineux, un homme en lunettes de soleil et une femme dans un cap de baseball s'encouragent dans une danse.",2
L'homme regarde la télévision.,Un homme dans une chemise rayée prend une photographie d'une femme dans une chemise jaune.,2
Ces oignons sont petits.,Il s'agit de quelques oignons très gros.,2
Un père et des enfants montent leurs vélos.,Un père et des enfants montent des vélos dans la rue de la ville.,0
Deux chiens habillés pour l'Halloween.,Un chien dans une chemise rose avec quelque chose de blanc dans sa bouche et un chien dans une chemise jaune.,1
Les tuyauteries sont des hommes,Deux tuyauteries soudent une couture reliant un gros couplage.,1
L'homme joue la guitare électrique au fond de l'océan.,"Un homme d'un châssis brun qui porte une tunique bleue foncée et foncée, joue la guitare électrique devant un homme peuplier dans une chemise jaune qui joue des tambours.",2
Un jeune garçon marche avec sa famille à la plage,Un jeune garçon portant des troncs de nage marche sur des roches à côté d'une plage.,1
Une personne regarde quelques tableaux lors d'un événement en plein air.,Une femme se tient devant certaines peintures lors d'une vente en plein air.,0
L'enfant dorme.,les jambes d'un enfant pendant qu'il s'agit d'une porte de chien.,2
Un jeu amusant.,Un jeu de soccer où une équipe porte rouge et l'autre vert se déroule.,1
Un homme est assis à côté d'un mur,Un homme assis contre un mur jaune portant tout le noir.,0
Le chien monte un arbre.,Un jeune chien de boxer se déplace sur une pelouse verte.,2
Un homme peint une image.,Un jeune homme portant un masque de peinture à côté d'une peinture peinte à pulvérisation sur une toile et un serviette.,0
Un homme lise un livre.,Un homme à cheveux brun avec une barbe et une chemise verte à l'aide d'une caméra,2
une femme jete un football.,Une femme en noir jette un football à l'intérieur tandis que l'homme regarde son cellulaire en fond.,0
Les deux chiens jouent à l'extérieur.,Deux chiens se battent au sol dans la neige.,1
Certaines personnes tournent dans le parc.,Les gens à l'extérieur d'un parc.,1
Deux personnes portant des vêtements similaires ont également des expressions similaires.,Un couple en manteau noir regarde la caméra avec des expressions agréables sur leurs visages.,0
Les membres de la bande sautent dans l'air,Les membres de la bande sur une scène et jouant des guitares sautent dans l'air pour divertir une foule de fans.,1
Le petit garçon est assis avec une femme.,Une femme et un petit garçon partagent une chaise.,0
Quelqu'un regarde l'art.,Une personne en bleu admirant l'art.,0
Une personne portant de longues manches en face d'un poste de feu parce qu'elle est en pierre.,Une personne portant une chemise à long roux rouge se couche sur un mur devant un poste de feu d'une manière très inhabituelle.,1
un homme pousse un enfant dans un fauteuil roulant,Un jeune garçon pousse un adulte dans un fauteuil roulant.,2
Une femme photographie quelque chose.,Une femme prend une photo avec sa caméra.,0
Les adultes poussent les enfants sur une piste de course.,Les adultes poussent les enfants dans des voitures de jouets autour d'une piste.,1
Un enfant apprend à lancer une balle de soccer tandis que d'autres membres de l'équipe surveillent.,Un petit enfant joue avec une balle tandis que d'autres se détendent et conversent entre eux.,1
Deux personnes plongent à ciel ouvert,Une fille qui a de longs cheveux foncés et un anneau s'encourage à un homme avec des lunettes de soleil.,2
Il y a un groupe de gens à l'extérieur.,"Un groupe de six randonneurs adultes se rassemblent sur une route de terre en face de quelques arbres l'après-midi, tandis que leur chef se tient au premier plan dans une veste verte, en voyant quelque chose à l'avant.",0
Une personne en costume quitte un véhicule.,Un homme habillé comme Père Nol sort de son Prius devant le Diner de Ruby.,0
Un match de soccer au Brésil.,Un jeu de soccer sur un terrain grassier.,1
L'homme se trouve près des fûts.,Un homme à cheveux foncés dans une chemise verte joue les tambours avec un bassiste en fond.,0
Un chien saute de l'embarcation.,Le chien jaune saute d'un navire dans l'eau.,0
un homme ne porte qu'un blanc,Un homme portant le noir déplace un dessus de table dans une pièce vide.,2
Le chat était au spectacle.,un homme couronne avec son chien lors d'un spectacle de chiens.,2
Le garçon et la fille font partie d'une famille.,"Deux petits enfants, un garçon et une fille, rirent alors qu'ils se trouvent sur l'herbe.",1
Un navire quitte le port sans cargaison.,Le fret est chargé sur un navire.,2
Les enfants tentent de lasso des moutons lors d'un rodéo fan-favorite.,"Deux hommes tentent d'insérer un taureau qui s'écrase sur l'un d'eux, dans un concours à un corral.",2
Une équipe de yachting navigue dans le port,Une équipe de kayak en rouge pratiquant à travers l'eau.,2
un homme tosse une balle,Un homme dans une chemise bleue s'enfonce à s'enfoncer un football.,0
Il y a deux véhicules blancs stationnés à l'extérieur.,Deux véhicules blancs stationnés devant Ruby's.,0
L'homme est psychopathe,Un homme en costume jaune affiche des chiffres sur le côté d'un toit.,1
Toutes les parties sont réunies,Personnes qui se promenent dans une ville diversifiée.,1
La femme se tient devant un mur.,Une femme portant du noir et des cheveux noirs se tient devant un mur et écrit en plusieurs langues.,0
un garçon dorme sur le lit,Les travailleurs en chapeaux dures jaunes se trouvent dans un seau vert à mesure qu'un homme en veste orange regarde sur le toit.,2
Deux femmes parlent à l'intérieur.,Deux femmes discutent dans un bureau moderniste et essentiellement blanc.,0
Les hommes dans les vestes oranges guident la circulation.,Les hommes en veste orange travaillent ensemble pour lever un objet.,2
La petite fille crie.,Une femme dans une chemise jaune et des courtes rouges traverse ses bras en regardant dans un miroir avec une petite fille dans une chemise Disney Princess jaune.,1
Il pâle à l'extérieur.,Un homme portant une chemise rose avec des bandes noires se protège contre la pluie à l'aide d'un journal.,0
Les femmes vont acheter un mélangeur.,Deux femmes se trouvent au milieu des appareils de cuisine et sous un panneau qui dit «KitchenAid».,1
Les gens jouent les tambours sur un terrain.,Une équipe de construction de 10 personnes travaille à la construction d'une nouvelle structure.,2
Quelqu'un tient des fleurs.,"Les dix personnes qui se trouvent sur le balcon, regardent le couple nouvellement marié kisse!",1
L'homme est à l'intérieur,Un individu à tête foncée ayant une tentative de saut en hauteur échouée.,2
La femme aime le polissage des ongles.,Deux mains tiennent un contenant de polissage des ongles.,1
La piste est droite et étroite.,Un groupe de patineurs de vitesse en tour avec une publicité bleue derrière eux.,2
Le lave-feu est un mâle.,"Un lave-feuille, à l'aide d'un cordon et d'un seau blanc, fonctionne sur les fenêtres d'un bâtiment en briques rouges qui est étiqueté avec le mot « BUILDING » sur un lintel sculpté.",1
Le groupe est à l'extérieur,Un groupe de personnes se trouvent à côté d'un éolienne en bois dans lequel se trouvent deux filles en rose.,0
Les Américains autochtones sont nus.,Les Américains sont habillés en vêtements autochtones et participent ensemble à une activité.,2
Une petite fille coupe un lac de neige dans un morceau de papier.,Une petite fille coupant quelque chose sur un plancher.,2
Une femme lise un livre non fiction.,Une femme en manteau bleu lit un livre dans la gare de métro.,1
Un homme se trouve près de deux voitures avec des drapeaux américains gonflables en forme de chauve-souris à côté de lui.,"Un homme se tient à deux véhicules avec trois chauves-souris gonflables conçues par le drapeau américain, en forme de triangle.",0
les gens sont jeunes,Un bateau avec deux hommes chevauchant tandis que le troisième homme détient une ligne.,1
Les contenants de boissons à l'arrière sont flous.,Plusieurs bouteilles sont floues dans l'arrière-plan.,1
Les gens cherchent du poisson,Une femme et un homme debout dans l'eau.,1
Femmes portant des robes de mariage marchent.,Femme portant un club porte à la marche.,2
Un cygne se trouvait dans l'eau.,Un cygne en décollant de l'eau.,0
Un garçon tient quelque chose dans ses mains.,Un jeune enfant noir est emballé dans un peignoir blanc et se trouve dans une porte de salle de bain.,0
Les deux joueurs sont en golf.,Un homme plus âgé et un jeune garçon sont en golf.,0
L'homme est assis sur la toilette dans la salle de bain.,Un homme donne une présentation devant une foule.,2
Deux femmes en couvées traversent la rue en traversant la circulation.,Deux femmes portant des cicatrices attendent de franchir la rue.,2
L'homme porte des vêtements.,Un homme dans un chapeau et une aprone pourpre qui s'incline sur un plateau de pizza en métal.,0
Une femme noire ayant un enfant sur son dos marche à la maison.,Une femme noire ayant un enfant sur son dos se tient dans un champ qui tient sur un pôle.,2
La voiture descend sur un inter-État occupé.,Une voiture est conduite sur un sentier tandis que les gens des deux côtés de la route regardent.,2
Un groupe d'amis joue entre eux.,Les enfants jouent un jeu de balle à l'extérieur.,1
L'homme est à l'extérieur,Un homme sans chemise est assis sur le sol et tient des fruits.,0
Une fille porte un chandail bleu.,Une petite fille portant un chandail bleu qui tient la corde sur un yo-yo rose.,0
la femme est une waitresse,Une femme dans une chemise blanche tient un plateau noir.,1
Les voitures s'arrêtent pour permettre à un groupe de manifestants de marcher devant eux.,Un groupe de personnes en jachère marchent en pluie dans la rue tandis que des voitures s'envolent en bordure.,2
L'homme a gagné la course.,L'homme qui dirige le pack dans une course à vélo élève les deux mains dans une victoire apparente.,1
Un électricien désactive les feux.,Plusieurs personnes s'envolent dans les feux de lumière.,2
Il y a des gens dansant à l'extérieur.,Les couples dansent dans les rues.,0
Une femme attend que les voitures passent pour qu'elle puisse franchir la rue.,Une femme attend de franchir la rue tandis qu'une autre femme ayant un sac à dos se trouve près d'une bicyclette.,0
Une femme joue un sport d'équipe.,# 6 fait tout son possible pour aider son équipe à remporter la victoire.,0
Une rue a deux femmes avec des sacs à l'achat entre elles.,Une rue de la ville avec deux femmes qui ont des sacs à achat dans leurs mains avec une foule derrière elles.,0
